No.,Name,Points,Errors,In-Play,Total Attempts,by Set
10,OGNJENOVIC Maja,,, 19,19,0.0
 1,BUSA Bianka,, 1,9,10,0.0
18,BOSKOVIC Tijana,, 2,7,9,0.0
 5,POPOVIC Mina,, 3,5,8,0.0
19,MILENKOVIC Bojana,, 2,5,7,0.0
16,RASIC Milena,,, 5,5,0.0
14,ALEKSIC Maja,,, 1,1,0.0
8,MIRKOVIC Sladjana,,,, ,
9,MIHAJLOVIC Brankica,,,, ,
13,BJELICA Ana,,,, ,
17,POPOVIC Silvija,,,, ,
20,BLAGOJEVIC Jelena,,,, ,
ls,,,8,51,59,0.0
