No.,Name,Points,Errors,In-Play,Attempts,%
11,DREWS Andrea,19.0,5,21,45,31.11
10,LARSON Jordan,12.0,4,16,32,25.0
14,BARTSCHHACKLEY Michelle,13.0,8,19,40,12.5
22,WASHINGTON Haleigh,7.0,2,7,16,
16,AKINRADEWO Foluke,6.0,3,4,13,
2,POULTER Jordyn,1.0,1,, 2,
1,HANCOCK Micha,1.0,,, 1,
4,WONGORANTES Justine,,,, ,
15,HILL Kimberly,,,, ,
23,ROBINSON Kelsey,,,, ,
24,OGBOGU Chiaka,,,, ,
ls,,59.0,23,67,149,24.16
