No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
11,YAO Di,13,1.0,11,25,4.33
16,DING Xia,7,, 28,35,2.33
 6,GONG Xiangyu,1,, 2,3,0.33
 1,YUAN Xinyue,1,1.0,1,3,0.33
18,WANG Mengjie,,, 2,2,0.0
 2,ZHU Ting,,, 1,1,0.0
12,LI Yingying,,, 1,1,0.0
7,WANG Yuanyuan,,,, ,
9,ZHANG Changning,,,, ,
10,LIU Xiaotong,,,, ,
17,YAN Ni,,,, ,
19,LIU Yanhan,,,, ,
ls,,22,2.0,46,70,7.33
