No.,Name,Points,Errors,In-Play,Attempts,%
18,EGONU Paola Ogechi,26.0,11,17,54,27.78
17,SYLLA Miryam Fatime,6.0,7,9,22,
9,BOSETTI Caterina Chiara,9.0,2,4,15,
13,FAHR Sarah Luisa,6.0,2,4,12,
14,PIETRINI Elena,3.0,2,2,7,
11,DANESI Anna,3.0,2,, 5,
5,MALINOV Ofelia,, 1,1,2,
1,SOROKAITE Indre,,,, ,
6,de GENNARO Monica,,,, ,
7,FOLIE Raphaela,,,, ,
8,ORRO Alessia,,,, ,
10,CHIRICHELLA Cristina,,,, ,
ls,,53.0,27,37,117,22.22
