No.,Name,Points,Errors,In-Play,Total Attempts,by Set
11,CAIXETA Tandara,2.0,, 17,19,0.5
16,RODRIGUES Fernanda,2.0,, 15,17,0.5
 2,de OLIVEIRA SAAD GATTAZ Caroline,1.0,1,14,16,0.25
 9,RATZKE Roberta Silva,1.0,1,13,15,0.25
10,BRAGA GUIMARAES Gabriela,,- 1,13,14,0.0
15,da SILVA Ana Carolina,,- 2,12,14,0.0
17,MENEZES OLIVEIRA de SOUZA Ana Cris.,,-, 3,3,0.0
7,MONTIBELLER Rosamaria,,-,, ,
12,PEREIRA Natalia,,-,, ,
18,BRAIT Camila,,-,, ,
20,CORREA Ana Beatriz,,-,, ,
ls,,6.0,5,87,98,1.5
