No.,Name,Excellents,Errors,In-Play,Attempts,%
14,MOIM Mercy,8,1.0,9,18,44.44
16,KUNDU Agripina Khayesi,10,1.0,16,27,37.04
4,KASAYA Leonida,3,4.0,7,14,
10,MURAMBI Noel,1,, 1,2,
13,KAEI Lorine Chebet,,, 2,2,
12,EMANIMAN Gladys Ekaru,,, 1,1,
1,WAIRIMU Jane Wacu,,,, ,
5,KIPRONO Sharon Chepchumba,,,, ,
8,LUSENAKA Joy,,,, ,
15,JEPKIRUI Pamela,,,, ,
18,CHEMTAI Emmaculate,,,, ,
19,MUKUVILANI Edith,,,, ,
ls,,22,6.0,36,64,34.38
