No.,Name,Points,Errors,In-Play,Attempts,%
21,MARTINEZ Jineiry,12.0,2,10,24,41.67
20,MARTINEZ Brayelin Elizabeth,21.0,3,23,47,38.3
23,GONZALEZ LOPEZ Gaila Ceneida,11.0,5,12,28,21.43
16,PENA ISABEL Yonkaira Paola,11.0,7,14,32,12.5
7,MARTE FRICA Niverka Dharlenis,5.0,1,1,7,
3,EVE MEJIA Lisvel Elisa,4.0,, 1,5,
18,de la CRUZ de PENA Bethania,1.0,2,1,4,
14,RIVERA BRENS Prisilla,,, 1,1,
1,VARGAS VALDEZ Annerys Victoria,,,, ,
5,CASTILLO Brenda,,,, ,
6,DOMINGUEZ MARTINEZ Camil Inmaculada,,,, ,
25,MARTINEZ CARO Larysmer,,,, ,
ls,,65.0,20,63,148,30.41
