No.,Name,Points,Errors,In-Play,Attempts,%
11,DREWS Andrea,14.0,4,6,24,41.67
10,LARSON Jordan,12.0,3,12,27,33.33
14,BARTSCHHACKLEY Michelle,11.0,3,16,30,26.67
22,WASHINGTON Haleigh,5.0,, 4,9,
16,AKINRADEWO Foluke,4.0,1,1,6,
2,POULTER Jordyn,,, 1,1,
1,HANCOCK Micha,,,, ,
4,WONGORANTES Justine,,,, ,
12,THOMPSON Jordan,,,, ,
15,HILL Kimberly,,,, ,
23,ROBINSON Kelsey,,,, ,
24,OGBOGU Chiaka,,,, ,
ls,,46.0,11,40,97,36.08
