No.,Name,Points,Errors,In-Play,Attempts,%
 4,SENOGLU Tugba,10.0,2,10,22,36.36
13,BOZ Meryem,20.0,11,12,43,20.93
 9,ISMAILOGLU Meliha,8.0,5,8,21,14.29
7,BALADIN Hande,4.0,2,5,11,
18,GUNES Zehra,4.0,2,4,10,
99,KARAKURT Ebrar,5.0,2,3,10,
14,ERDEM DUNDAR Eda,4.0,2,2,8,
3,OZBAY Cansu,1.0,, 1,2,
11,AYDEMIR AKYOL Naz,,, 1,1,
5,ERCAN Seyma,, 1,, 1,
2,AKOZ Simge Sebnem,,,, ,
6,CALISKAN Kubra,,,, ,
ls,,56.0,27,46,129,22.48
