No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 2,AKOZ Simge Sebnem,10,7.0,4,21,2.0
 7,BALADIN Hande,8,8.0,5,21,1.6
11,AYDEMIR AKYOL Naz,7,1.0,2,10,1.4
 5,ERCAN Seyma,4,5.0,3,12,0.8
14,ERDEM DUNDAR Eda,3,3.0,2,8,0.6
 3,OZBAY Cansu,2,1.0,3,6,0.4
13,BOZ Meryem,2,, 3,5,0.4
 4,SENOGLU Tugba,2,,, 2,0.4
 9,ISMAILOGLU Meliha,1,2.0,, 3,0.2
18,GUNES Zehra,1,1.0,, 2,0.2
99,KARAKURT Ebrar,,, 2,2,0.0
6,CALISKAN Kubra,,,, ,
ls,,40,28.0,24,92,8.0
