No.,Name,Points,Errors,In-Play,Total Attempts,by Set
 6,KOROLEVA Irina,5.0,3,8,16,1.67
 8,GONCHAROVA Nataliya,4.0,3,1,8,1.33
10,FEDOROVTSEVA Arina,2.0,4,1,7,0.67
14,FETISOVA Irina,1.0,1,7,9,0.33
16,VORONKOVA Irina,1.0,2,6,9,0.33
13,STARTSEVA Evgeniya,,, 4,4,0.0
26,ENINA Ekaterina,,, 1,1,0.0
4,PILIPENKO Daria,,,, ,
5,MATVEEVA Polina,,,, ,
12,LAZAREVA Anna,,,, ,
19,PODKOPAEVA Anna,,,, ,
25,SMIRNOVA Kseniia,,,, ,
ls,,13.0,13,28,54,4.33
