No.,Name,Excellents,Errors,In-Play,Attempts,%
19,PYO Seungju,10,2.0,10,22,45.45
9,OH Jiyoung,4,6.0,7,17,
13,PARK Jeongah,5,3.0,5,13,
1,LEE Soyoung,2,2.0,4,8,
10,KIM Yeon Koung,3,, 3,6,
14,YANG Hyo Jin,2,,, 2,
11,KIM Su Ji,1,,, 1,
3,YEUM Hye Seon,,,, ,
4,KIM Heejin,,,, ,
7,AN Hyejin,,,, ,
8,PARK Eunjin,,,, ,
16,JEONG Jiyun,,,, ,
ls,,27,13.0,29,69,39.13
