No.,Name,Excellents,Errors,In-Play,Attempts,%
 9,BOSETTI Caterina Chiara,18,, 7,25,72.0
14,PIETRINI Elena,12,1.0,10,23,52.17
6,de GENNARO Monica,10,, 4,14,
17,SYLLA Miryam Fatime,1,1.0,3,5,
1,SOROKAITE Indre,,,, ,
5,MALINOV Ofelia,,,, ,
7,FOLIE Raphaela,,,, ,
8,ORRO Alessia,,,, ,
10,CHIRICHELLA Cristina,,,, ,
11,DANESI Anna,,,, ,
13,FAHR Sarah Luisa,,,, ,
18,EGONU Paola Ogechi,,,, ,
ls,,41,2.0,24,67,61.19
