No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
12,MOMII Aki,41,, 62,103,10.25
 3,TASHIRO Kanami,1,, 10,11,0.25
 4,ISHIKAWA Mayu,1,, 1,2,0.25
15,HAYASHI Kotona,1,,, 1,0.25
 1,KUROGO Ai,,, 3,3,0.0
 6,KOBATA Mako,,, 3,3,0.0
 2,KOGA Sarina,,, 1,1,0.0
 5,SHIMAMURA Haruyo,,, 1,1,0.0
11,ARAKI Erika,,, 1,1,0.0
8,ISHII Yuki,,,, ,
9,OKUMURA Mai,,,, ,
19,YAMADA Nichika,,,, ,
ls,,44,,83,127,11.0
