No.,Name,Points,Errors,In-Play,Attempts,%
16,VORONKOVA Irina,19.0,7,9,35,34.29
 8,GONCHAROVA Nataliya,17.0,7,25,49,20.41
10,FEDOROVTSEVA Arina,12.0,9,13,34,8.82
6,KOROLEVA Irina,4.0,3,3,10,
12,LAZAREVA Anna,, 1,4,5,
14,FETISOVA Irina,3.0,, 1,4,
13,STARTSEVA Evgeniya,1.0,1,2,4,
25,SMIRNOVA Kseniia,,, 1,1,
4,PILIPENKO Daria,,,, ,
5,MATVEEVA Polina,,,, ,
19,PODKOPAEVA Anna,,,, ,
26,ENINA Ekaterina,,,, ,
ls,,56.0,28,58,142,19.72
