No.,Name,Points,Errors,In-Play,Total Attempts,by Set
14,YANG Hyo Jin,4.0,11,7,22,0.8
13,PARK Jeongah,4.0,2,2,8,0.8
10,KIM Yeon Koung,3.0,1,4,8,0.6
 4,KIM Heejin,2.0,2,13,17,0.4
 3,YEUM Hye Seon,1.0,3,9,13,0.2
11,KIM Su Ji,, 7,8,15,0.0
 1,LEE Soyoung,,, 2,2,0.0
 8,PARK Eunjin,,, 1,1,0.0
 7,AN Hyejin,, 1,, 1,0.0
16,JEONG Jiyun,, 1,, 1,0.0
19,PYO Seungju,, 1,, 1,0.0
9,OH Jiyoung,,,, ,
ls,,14.0,29,46,89,2.8
