No.,Name,Points,Errors,In-Play,Attempts,%
10,FEDOROVTSEVA Arina,18.0,6,15,39,30.77
16,VORONKOVA Irina,16.0,6,17,39,25.64
 8,GONCHAROVA Nataliya,9.0,8,16,33,3.03
6,KOROLEVA Irina,8.0,, 5,13,
14,FETISOVA Irina,2.0,, 3,5,
26,ENINA Ekaterina,2.0,1,, 3,
12,LAZAREVA Anna,, 2,1,3,
13,STARTSEVA Evgeniya,,, 1,1,
4,PILIPENKO Daria,,,, ,
5,MATVEEVA Polina,,,, ,
19,PODKOPAEVA Anna,,,, ,
25,SMIRNOVA Kseniia,,,, ,
ls,,55.0,23,58,136,23.53
