No.,Name,Points,Errors,In-Play,Attempts,%
18,BOSKOVIC Tijana,24.0,7,12,43,39.53
19,MILENKOVIC Bojana,5.0,, 6,11,
20,BLAGOJEVIC Jelena,3.0,1,7,11,
16,RASIC Milena,3.0,2,3,8,
5,POPOVIC Mina,2.0,, 1,3,
9,MIHAJLOVIC Brankica,2.0,,, 2,
10,OGNJENOVIC Maja,2.0,,, 2,
14,ALEKSIC Maja,1.0,,, 1,
1,BUSA Bianka,,,, ,
8,MIRKOVIC Sladjana,,,, ,
13,BJELICA Ana,,,, ,
17,POPOVIC Silvija,,,, ,
ls,,42.0,10,29,81,39.51
