No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 3,YEUM Hye Seon,41,, 69,110,8.2
 7,AN Hyejin,6,, 7,13,1.2
 9,OH Jiyoung,4,, 6,10,0.8
10,KIM Yeon Koung,3,, 5,8,0.6
14,YANG Hyo Jin,2,, 2,4,0.4
11,KIM Su Ji,1,, 3,4,0.2
 4,KIM Heejin,,, 2,2,0.0
13,PARK Jeongah,,, 1,1,0.0
1,LEE Soyoung,,,, ,
8,PARK Eunjin,,,, ,
16,JEONG Jiyun,,,, ,
19,PYO Seungju,,,, ,
ls,,57,,95,152,11.4
