No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
17,POPOVIC Silvija,11,7.0,1,19,3.67
19,MILENKOVIC Bojana,7,5.0,, 12,2.33
20,BLAGOJEVIC Jelena,6,2.0,4,12,2.0
18,BOSKOVIC Tijana,4,, 2,6,1.33
10,OGNJENOVIC Maja,3,5.0,3,11,1.0
 5,POPOVIC Mina,,1.0,2,3,0.0
16,RASIC Milena,,2.0,1,3,0.0
1,BUSA Bianka,,,, ,
8,MIRKOVIC Sladjana,,,, ,
9,MIHAJLOVIC Brankica,,,, ,
13,BJELICA Ana,,,, ,
14,ALEKSIC Maja,,,, ,
ls,,31,22.0,13,66,10.33
