No.,Name,Excellents,Errors,In-Play,Attempts,%
 6,de GENNARO Monica,12,, 2,14,85.71
 9,BOSETTI Caterina Chiara,11,, 3,14,78.57
14,PIETRINI Elena,9,, 7,16,56.25
11,DANESI Anna,2,,, 2,
18,EGONU Paola Ogechi,,, 1,1,
1,SOROKAITE Indre,,,, ,
5,MALINOV Ofelia,,,, ,
7,FOLIE Raphaela,,,, ,
8,ORRO Alessia,,,, ,
10,CHIRICHELLA Cristina,,,, ,
13,FAHR Sarah Luisa,,,, ,
17,SYLLA Miryam Fatime,,,, ,
ls,,34,,13,47,72.34
