No.,Name,Excellents,Errors,In-Play,Attempts,%
16,VORONKOVA Irina,23,2.0,19,44,52.27
10,FEDOROVTSEVA Arina,7,2.0,15,24,29.17
19,PODKOPAEVA Anna,11,, 5,16,
12,LAZAREVA Anna,2,,, 2,
13,STARTSEVA Evgeniya,,1.0,1,2,
8,GONCHAROVA Nataliya,,, 1,1,
6,KOROLEVA Irina,,1.0,, 1,
4,PILIPENKO Daria,,,, ,
5,MATVEEVA Polina,,,, ,
14,FETISOVA Irina,,,, ,
25,SMIRNOVA Kseniia,,,, ,
26,ENINA Ekaterina,,,, ,
ls,,43,6.0,41,90,47.78
