No.,Name,Points,Errors,In-Play,Total Attempts,by Set
18,GUNES Zehra,4.0,3,11,18,0.8
 7,BALADIN Hande,2.0,4,6,12,0.4
13,BOZ Meryem,2.0,4,2,8,0.4
14,ERDEM DUNDAR Eda,1.0,6,9,16,0.2
99,KARAKURT Ebrar,1.0,2,6,9,0.2
11,AYDEMIR AKYOL Naz,1.0,3,2,6,0.2
 5,ERCAN Seyma,, 2,2,4,0.0
 9,ISMAILOGLU Meliha,, 2,, 2,0.0
 3,OZBAY Cansu,, 1,, 1,0.0
2,AKOZ Simge Sebnem,,,, ,
4,SENOGLU Tugba,,,, ,
6,CALISKAN Kubra,,,, ,
ls,,11.0,27,38,76,2.2
