No.,Name,Points,Errors,In-Play,Total Attempts,by Set
16,VORONKOVA Irina,3.0,1,6,10,1.0
10,FEDOROVTSEVA Arina,1.0,2,11,14,0.33
 8,GONCHAROVA Nataliya,, 1,15,16,0.0
13,STARTSEVA Evgeniya,,, 11,11,0.0
14,FETISOVA Irina,, 1,7,8,0.0
 6,KOROLEVA Irina,,, 7,7,0.0
26,ENINA Ekaterina,,, 4,4,0.0
12,LAZAREVA Anna,,, 2,2,0.0
25,SMIRNOVA Kseniia,,, 2,2,0.0
4,PILIPENKO Daria,,,, ,
5,MATVEEVA Polina,,,, ,
19,PODKOPAEVA Anna,,,, ,
ls,,4.0,5,65,74,1.33
