No.,Name,Excellents,Errors,In-Play,Attempts,%
 1,BUSA Bianka,14,1.0,6,21,66.67
19,MILENKOVIC Bojana,10,, 5,15,66.67
17,POPOVIC Silvija,2,1.0,3,6,
20,BLAGOJEVIC Jelena,1,, 1,2,
5,POPOVIC Mina,,2.0,, 2,
8,MIRKOVIC Sladjana,,,, ,
9,MIHAJLOVIC Brankica,,,, ,
10,OGNJENOVIC Maja,,,, ,
13,BJELICA Ana,,,, ,
14,ALEKSIC Maja,,,, ,
16,RASIC Milena,,,, ,
18,BOSKOVIC Tijana,,,, ,
ls,,27,4.0,15,46,58.7
