No.,Name,Points,Errors,In-Play,Attempts,%
16,RASIC Milena,7.0,1,4,12,50.0
18,BOSKOVIC Tijana,11.0,5,8,24,25.0
 1,BUSA Bianka,4.0,3,7,14,7.14
19,MILENKOVIC Bojana,7.0,, 4,11,
5,POPOVIC Mina,5.0,, 3,8,
10,OGNJENOVIC Maja,3.0,,, 3,
13,BJELICA Ana,, 1,2,3,
8,MIRKOVIC Sladjana,1.0,,, 1,
14,ALEKSIC Maja,1.0,,, 1,
9,MIHAJLOVIC Brankica,,,, ,
17,POPOVIC Silvija,,,, ,
20,BLAGOJEVIC Jelena,,,, ,
ls,,39.0,10,28,77,37.66
