No.,Name,Excellents,Errors,In-Play,Attempts,%
16,VORONKOVA Irina,10,, 6,16,62.5
19,PODKOPAEVA Anna,8,, 7,15,53.33
10,FEDOROVTSEVA Arina,3,, 8,11,
25,SMIRNOVA Kseniia,,1.0,3,4,
6,KOROLEVA Irina,1,,, 1,
4,PILIPENKO Daria,,,, ,
5,MATVEEVA Polina,,,, ,
8,GONCHAROVA Nataliya,,,, ,
12,LAZAREVA Anna,,,, ,
13,STARTSEVA Evgeniya,,,, ,
14,FETISOVA Irina,,,, ,
26,ENINA Ekaterina,,,, ,
ls,,22,1.0,24,47,46.81
