No.,Name,Excellents,Errors,In-Play,Attempts,%
14,BARTSCHHACKLEY Michelle,13,, 3,16,81.25
10,LARSON Jordan,9,, 4,13,69.23
 4,WONGORANTES Justine,10,, 6,16,62.5
1,HANCOCK Micha,,,, ,
2,POULTER Jordyn,,,, ,
11,DREWS Andrea,,,, ,
12,THOMPSON Jordan,,,, ,
15,HILL Kimberly,,,, ,
16,AKINRADEWO Foluke,,,, ,
22,WASHINGTON Haleigh,,,, ,
23,ROBINSON Kelsey,,,, ,
24,OGBOGU Chiaka,,,, ,
ls,,32,,13,45,71.11
