No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
19,MILENKOVIC Bojana,10,1.0,1,12,3.33
 1,BUSA Bianka,5,2.0,2,9,1.67
18,BOSKOVIC Tijana,4,4.0,3,11,1.33
17,POPOVIC Silvija,4,3.0,2,9,1.33
10,OGNJENOVIC Maja,1,5.0,4,10,0.33
20,BLAGOJEVIC Jelena,1,,, 1,0.33
16,RASIC Milena,,1.0,1,2,0.0
 8,MIRKOVIC Sladjana,,, 1,1,0.0
 5,POPOVIC Mina,,1.0,, 1,0.0
9,MIHAJLOVIC Brankica,,,, ,
13,BJELICA Ana,,,, ,
14,ALEKSIC Maja,,,, ,
ls,,25,17.0,14,56,8.33
