No.,Name,Points,Errors,In-Play,Total Attempts,by Set
11,ARAKI Erika,3.0,6,7,16,0.6
 1,KUROGO Ai,2.0,6,6,14,0.4
 4,ISHIKAWA Mayu,2.0,3,8,13,0.4
 5,SHIMAMURA Haruyo,1.0,7,19,27,0.2
12,MOMII Aki,1.0,1,7,9,0.2
 2,KOGA Sarina,1.0,2,5,8,0.2
15,HAYASHI Kotona,,, 3,3,0.0
19,YAMADA Nichika,, 1,, 1,0.0
3,TASHIRO Kanami,,,, ,
6,KOBATA Mako,,,, ,
8,ISHII Yuki,,,, ,
9,OKUMURA Mai,,,, ,
ls,,10.0,26,55,91,2.0
