No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 1,WAIRIMU Jane Wacu,7,6.0,, 13,2.33
14,MOIM Mercy,5,1.0,, 6,1.67
16,KUNDU Agripina Khayesi,4,11.0,, 15,1.33
 4,KASAYA Leonida,2,7.0,1,10,0.67
19,MUKUVILANI Edith,1,1.0,, 2,0.33
 5,KIPRONO Sharon Chepchumba,,5.0,, 5,0.0
 8,LUSENAKA Joy,,,- 1,1,0.0
12,EMANIMAN Gladys Ekaru,,,- 1,1,0.0
13,KAEI Lorine Chebet,,1.0,, 1,0.0
10,MURAMBI Noel,,,-, ,
15,JEPKIRUI Pamela,,,-, ,
18,CHEMTAI Emmaculate,,,-, ,
ls,,19,32.0,3,54,6.33
