No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
10,OGNJENOVIC Maja,37,, 39,76,12.33
20,BLAGOJEVIC Jelena,4,, 2,6,1.33
17,POPOVIC Silvija,4,, 1,5,1.33
 5,POPOVIC Mina,1,,, 1,0.33
16,RASIC Milena,1,,, 1,0.33
19,MILENKOVIC Bojana,1,,, 1,0.33
18,BOSKOVIC Tijana,,, 3,3,0.0
1,BUSA Bianka,,,, ,
8,MIRKOVIC Sladjana,,,, ,
9,MIHAJLOVIC Brankica,,,, ,
13,BJELICA Ana,,,, ,
14,ALEKSIC Maja,,,, ,
ls,,48,,45,93,16.0
