No.,Name,Points,Errors,In-Play,Attempts,%
16,MERCADO Erika,9.0,7,8,24,8.33
1,RODRIGUEZ Elina Maria,10.0,10,12,32,
4,BULAICH SIMIAN Daniela,4.0,8,6,18,
11,LAZCANO Julieta Constanza,6.0,3,2,11,
3,NIZETICH Paula Yamila,, 4,5,9,
17,HERRERA RODRIGUEZ Candelaria Lucia,, 1,2,3,
13,FARRIOL Bianca,1.0,, 1,2,
14,MAYER Victoria,1.0,, 1,2,
15,FORTUNA Antonela,1.0,, 1,2,
6,NOSACH Eugenia,, 1,, 1,
2,GERMANIER Sabrina Soledad,,,, ,
12,RIZZO Tatiana Soledad,,,, ,
ls,,32.0,34,38,104,
