No.,Name,Points,Errors,In-Play,Attempts,%
18,BOSKOVIC Tijana,16.0,11,14,41,12.2
1,BUSA Bianka,3.0,2,5,10,
5,POPOVIC Mina,5.0,, 4,9,
16,RASIC Milena,4.0,3,2,9,
19,MILENKOVIC Bojana,3.0,1,2,6,
20,BLAGOJEVIC Jelena,, 2,1,3,
10,OGNJENOVIC Maja,1.0,,, 1,
14,ALEKSIC Maja,,, 1,1,
8,MIRKOVIC Sladjana,,,, ,
9,MIHAJLOVIC Brankica,,,, ,
13,BJELICA Ana,,,, ,
17,POPOVIC Silvija,,,, ,
ls,,32.0,19,29,80,16.25
