No.,Name,Points,Errors,In-Play,Total Attempts,by Set
 3,YEUM Hye Seon,4.0,2,15,21,0.8
13,PARK Jeongah,2.0,2,10,14,0.4
10,KIM Yeon Koung,1.0,1,14,16,0.2
14,YANG Hyo Jin,,, 15,15,0.0
11,KIM Su Ji,,, 14,14,0.0
 4,KIM Heejin,, 3,7,10,0.0
 7,AN Hyejin,, 2,2,4,0.0
19,PYO Seungju,, 1,1,2,0.0
 1,LEE Soyoung,, 1,, 1,0.0
8,PARK Eunjin,,,, ,
9,OH Jiyoung,,,, ,
16,JEONG Jiyun,,,, ,
ls,,7.0,12,78,97,1.4
